2451054.91286 20.232 0.146 11  0 B
2451055.88535 20.933 0.372 11  0 F
2451059.89812 20.655 0.285 11  0 D
2451061.90788 20.213 0.217 11  0 D
2451069.85531 20.189 0.148 11  0 B
2451076.87725 20.148 0.154 11  0 B
2451087.82746 20.469 0.191 11  0 D
2451102.81237 20.559 0.131 11  0 B
2451106.86740 20.633 0.199 11  0 C
2451107.79518 20.766 0.242 11  0 C
2451113.80795 20.674 0.225 11  0 D
2451119.81267 20.269 0.180 11 40 A
2451128.82093 20.598 0.214 11  0 B
2451132.75852 20.642 0.213 11  0 B
2451136.79183 20.231 0.149 11  0 A
2451138.81826 20.768 0.247 11  0 A
2451142.68295 20.868 0.212 11 40 A
2451144.75186 20.788 0.237 11  0 A
2451151.77772 21.397 0.466 11  0 A
2451155.77703 20.194 0.142 11  0 C
2451158.77452 20.457 0.194 11  0 B
2451161.75245 20.786 0.210 11  0 A
2451165.77318 20.512 0.176 11  0 B
2451169.76805 20.809 0.281 11  0 C
2451174.74188 20.768 0.204 11  0 D
2451179.75870 20.593 0.269 11  0 B
2451181.83079 21.361 0.564 11  0 B
2451186.78519 20.708 0.197 11  0 A
2451187.84645 20.669 0.213 11  0 A
2451192.69232 21.043 0.285 11  0 B
2451196.72521 20.420 0.233 11  0 E
2451201.73408 20.244 0.188 11  0 E
2451203.75389 20.483 0.179 11  0 B
2451207.61078 20.869 0.338 11  0 B
2451211.64854 20.555 0.216 11  0 A
2451214.64944 20.782 0.311 11  0 C
2451217.62428 20.417 0.182 11  0 D
2451220.62912 20.399 0.172 11  0 A
2451223.65535 21.200 0.367 11  0 B
2451225.59630 20.421 0.159 11  0 A
2451227.67679 20.659 0.287 11  0 F
2451231.57271 20.661 0.279 11  0 C
2451234.62094 21.413 0.521 11  0 C
2451240.58090 20.402 0.193 11  0 A
2451242.68260 20.156 0.198 11  0 C
2451244.63222 20.415 0.201 11  0 B
2451247.56281 20.557 0.263 11  0 D
2451260.57303 20.735 0.256 11  0 A
2451265.54796 20.634 0.241 11  0 A
2451277.53015 20.838 0.330 11  0 B
2451290.59580 20.745 0.316 11  0 B
2451305.55859 20.692 0.299 11  0 B
2451308.48811 20.514 0.241 11  0 A
2451319.50277 20.756 0.284 11  0 A
2451335.47248 20.570 0.277 11  0 B
2451412.86113 20.712 0.277 11  0 D
2451418.85835 20.836 0.308 11  0 C
2451430.91290 20.474 0.226 11  0 C
2451437.80664 20.673 0.273 11  0 D
2451440.85429 19.791 0.133 11  0 C
2451451.87614 20.673 0.273 11  0 C
2451459.79363 20.787 0.290 11  0 C
2451462.79792 20.429 0.233 11  0 F
2451470.85826 20.463 0.200 11  0 A
2451475.77090 20.908 0.323 11  0 A
2451478.72627 20.357 0.210 11  0 D
2451481.69990 20.805 0.313 11  0 D
